location[0],location[1],index,state,age,if_migra,mature,div_time,maxDiv,nDiv,cell_cycle,life_span,prob,prob_0,EGF_R,IGF_R,AKT,ERK,a_ERK,a_AKT
50,54,74,quiescent,68.5,41,28,37,8,1,28,192,1,0.0989683,0.771817,6.7582e-12,4.6807e-07,0.823288,14.3,44
50,55,75,quiescent,118,44,28,39.5,8,2,28,192,1,0.0989716,0.771872,7.04888e-12,4.86e-07,0.823368,14.3,44
54,53,76,quiescent,70,44,28,40.5,8,1,28,192,1,0.0991396,0.77486,1.12853e-11,8.60769e-07,0.827487,14.3,44
45,50,76,quiescent,90.5,37,28,61.5,8,1,28,192,1,0.0988865,0.770452,1.52253e-11,1.00911e-06,0.821274,14.3,44
46,48,76,quiescent,69,42,28,32.5,8,1,28,192,1,0.0989701,0.771753,3.64368e-12,2.42695e-07,0.823335,14.3,44
53,53,77,quiescent,61.5,27,28,33.5,8,1,28,192,1,0.0990893,0.773951,5.8457e-12,4.35583e-07,0.826257,14.3,44
45,53,78,quiescent,73,2,28,35,8,1,28,192,1,0.0988901,0.770463,1.71325e-11,1.07788e-06,0.821361,14.3,44
54,51,79,quiescent,59.5,23,28,30,8,1,28,192,1,0.0992072,0.776095,4.96265e-12,3.94581e-07,0.829166,14.3,44
46,54,80,quiescent,90,36,28,28,8,2,28,192,1,0.0989173,0.770908,2.22556e-12,1.36421e-07,0.822046,14.3,44
50,45,81,quiescent,87,30,28,44.5,8,1,28,192,1,0.0992788,0.777177,3.57984e-12,2.39055e-07,0.830941,14.3,44
52,45,82,quiescent,130.5,21,28,57,8,2,28,192,1,0.0993807,0.779197,1.51796e-12,1.09011e-07,0.833472,14.3,44
55,49,83,quiescent,135.5,31,28,30,8,3,28,192,1,0.0993834,0.779282,3.89379e-13,5.20084e-08,0.83354,14.3,44
48,45,83,quiescent,143.5,47,28,29.5,8,3,28,192,1,0.0991956,0.775525,8.52718e-13,5.82134e-08,0.828886,14.3,44
52,54,84,quiescent,90,36,28,32,8,2,28,192,1,0.099028,0.772886,1.57503e-12,1.12912e-07,0.824759,14.3,44
44,53,85,quiescent,89.5,35,28,29,8,2,28,192,1,0.0988865,0.770376,8.94398e-12,5.51641e-07,0.821285,14.3,44
55,51,87,quiescent,73,2,28,38,8,1,28,192,1,0.0992746,0.777329,2.18911e-12,1.83136e-07,0.830838,14.3,44
44,52,89,quiescent,98.5,5,28,30,8,2,28,192,1,0.0988696,0.770112,4.04926e-12,2.60289e-07,0.82088,14.3,44
53,45,89,alive,110.5,29,28,10.5,8,2,28,192,0,0.0994409,0.78786,1.15898e-12,9.41064e-08,0.770024,14.3,44
45,48,90,quiescent,67.5,39,28,38.5,8,1,28,192,1,0.0989408,0.771336,8.17891e-12,5.25824e-07,0.822612,14.3,44
48,54,92,quiescent,64,32,28,30,8,1,28,192,1,0.0989306,0.771176,3.70673e-12,2.45986e-07,0.822369,14.3,44
51,55,93,quiescent,66,36,28,33.5,8,1,28,192,1,0.0989977,0.77227,3.15827e-12,2.25194e-07,0.824013,14.3,44
50,44,94,quiescent,91,38,28,34,8,2,28,192,1,0.0993513,0.778433,1.79832e-12,1.19917e-07,0.832741,14.3,44
48,55,96,quiescent,139,38,28,34,8,3,28,192,1,0.0989523,0.771469,1.44857e-12,1.08957e-07,0.822903,14.3,44
55,50,97,quiescent,60.5,25,28,29,8,1,28,192,1,0.099331,0.778299,2.14406e-12,1.80784e-07,0.832236,14.3,44
53,54,98,quiescent,65.5,35,28,32,8,1,28,192,1,0.0990675,0.773599,6.28051e-12,4.56176e-07,0.825721,14.3,44
44,51,99,quiescent,68.5,41,28,39.5,8,1,28,192,1,0.0988664,0.770067,8.12804e-12,5.22591e-07,0.820796,14.3,44
