location[0],location[1],state,age,now_phagocytose,max_phagocytose,CSF1R,trans,trans_num,rest_time,life_span,a_CSF1,a_A
49,39,M1,625.272,2,2,1,0,2,3,720,0.675,0.45
11,53,M2,330.808,0,2,1,1,0,0,720,0.675,0.45
70,7,M2,332.702,0,2,1,1,0,0,720,0.675,0.45
64,64,M2,513.651,0,2,1,0,3,0,720,0.675,0.45
29,32,M2,619.402,1,2,1,1,4,0,720,0.675,0.45
53,77,M2,346.069,0,2,1,1,6,0,720,0.675,0.45
33,37,M2,609.985,1,2,1,0,2,0,720,0.675,0.45
41,20,M2,440.226,0,2,1,0,3,0,720,0.675,0.45
41,92,M2,709.875,0,2,1,1,2,0,720,0.675,0.45
65,55,M2,538.807,0,2,1,1,3,0,720,0.675,0.45
24,59,M2,629.615,0,2,1,0,4,0,720,0.675,0.45
54,78,M2,457.005,1,2,1,1,0,0,720,0.675,0.45
20,43,M2,453.255,0,2,1,1,2,0,720,0.675,0.45
32,58,M2,228.237,1,2,1,0,6,0,720,0.675,0.45
50,29,M1,621.026,1,2,1,0,4,0,720,0.675,0.45
62,42,M2,627.518,0,2,1,1,2,0,720,0.675,0.45
52,77,M2,315.063,0,2,1,0,0,0,720,0.675,0.45
91,75,M2,484.659,0,2,1,1,0,0,720,0.675,0.45
29,95,M2,530.92,0,2,1,1,2,0,720,0.675,0.45
43,78,M2,645.624,0,2,1,0,5,0,720,0.675,0.45
38,66,M2,512.067,1,2,1,1,2,0,720,0.675,0.45
42,60,M1,464.605,2,2,1,0,5,3,720,0.675,0.45
52,15,M2,332.454,0,2,1,1,3,0,720,0.675,0.45
58,42,M2,534.54,0,2,1,0,1,0,720,0.675,0.45
50,31,M2,436.27,0,2,1,0,1,0,720,0.675,0.45
57,76,M1,537.718,2,2,1,0,1,8.5,720,0.675,0.45
2,88,M2,531.888,0,2,1,1,5,0,720,0.675,0.45
60,73,M2,410.349,1,2,1,0,2,0,720,0.675,0.45
6,56,M2,386.189,0,2,1,1,4,0,720,0.675,0.45
24,40,M2,516.013,0,2,1,1,2,0,720,0.675,0.45
38,22,M2,473.168,0,2,1,1,5,0,720,0.675,0.45
75,97,M1,379.718,0,2,1,1,2,0,720,0.675,0.45
40,74,M2,567.744,0,2,1,0,6,0,720,0.675,0.45
80,76,M2,658.122,0,2,1,1,5,0,720,0.675,0.45
58,74,M2,350.342,0,2,1,0,0,0,720,0.675,0.45
47,35,M1,666.902,2,2,1,0,4,4.5,720,0.675,0.45
53,74,M2,488.045,1,2,1,0,6,0,720,0.675,0.45
48,26,M2,248.73,0,2,1,0,2,0,720,0.675,0.45
43,21,M2,693.561,0,2,1,0,1,0,720,0.675,0.45
51,37,M2,448.506,0,2,1,0,3,0,720,0.675,0.45
79,59,M2,328.893,0,2,1,1,0,0,720,0.675,0.45
2,82,M2,578.148,0,2,1,1,3,0,720,0.675,0.45
55,27,M2,667.53,0,2,1,1,6,0,720,0.675,0.45
57,26,M2,674.243,1,2,1,0,2,0,720,0.675,0.45
26,51,M2,477.578,1,2,1,0,6,0,720,0.675,0.45
82,98,M2,335.764,0,2,1,1,2,0,720,0.675,0.45
30,43,M1,572.264,2,2,1,0,1,4,720,0.675,0.45
30,29,M2,632.121,0,2,1,1,4,0,720,0.675,0.45
25,96,M2,433.219,0,2,1,1,5,0,720,0.675,0.45
21,49,M2,657.399,0,2,1,0,2,0,720,0.675,0.45
11,95,M2,599.806,0,2,1,1,3,0,720,0.675,0.45
49,41,M2,427.146,0,2,1,0,1,0,720,0.675,0.45
29,42,M1,220.423,2,2,1,1,2,1,720,0.675,0.45
58,51,M1,292.399,2,2,1,0,4,7.5,720,0.675,0.45
70,51,M2,396.993,0,2,1,1,0,0,720,0.675,0.45
30,30,M2,280.595,0,2,1,1,0,0,720,0.675,0.45
62,11,M2,437.676,0,2,1,1,0,0,720,0.675,0.45
56,34,M2,410.335,0,2,1,0,3,0,720,0.675,0.45
4,35,M2,503.122,0,2,1,1,3,0,720,0.675,0.45
80,10,M2,238.281,0,2,1,1,4,0,720,0.675,0.45
43,22,M1,395.321,2,2,1,1,3,6,720,0.675,0.45
32,39,M2,581.587,1,2,1,0,6,0,720,0.675,0.45
61,76,M2,319.826,0,2,1,1,1,0,720,0.675,0.45
52,72,M1,215.284,2,2,1,0,5,7.5,720,0.675,0.45
73,16,M2,677.979,0,2,1,1,4,0,720,0.675,0.45
